MASS        E           DATA        ERR-S
91.         12.5        0.          0.
91.         12.7        0.          0.
91.         12.9        0.          0.
91.         13.1        0.          0.
91.         13.3        0.          0.
91.         13.5        0.          0.
91.         13.7        0.          0.
91.         13.9        0.          0.
91.         14.1        0.          0.
91.         14.3        0.          0.
91.         14.5        0.          0.
91.         14.7        0.          0.
91.         14.9        0.          0.
92.         0.1         0.452879    0.0335857
92.         0.3         0.894559    0.0455747
92.         0.5         0.885425    0.0458599
92.         0.7         0.800772    0.0444997
92.         0.9         0.707114    0.042896
92.         1.1         0.601288    0.0403808
92.         1.3         0.497971    0.0376636
92.         1.5         0.388487    0.0342464
92.         1.7         0.329738    0.0318434
92.         1.9         0.273348    0.029842
92.         2.1         0.204853    0.0266754
92.         2.3         0.212662    0.0278007
92.         2.5         0.121064    0.0217574
92.         2.7         0.117555    0.020717
92.         2.9         0.0889996   0.0188598
92.         3.1         0.0956415   0.0200439
92.         3.3         0.0744032   0.0172405
92.         3.5         0.0486973   0.0151122
92.         3.7         0.0523378   0.0160365
92.         3.9         0.0409732   0.014944
92.         4.1         0.0230154   0.010594
92.         4.3         0.0271815   0.0122309
92.         4.5         0.0290402   0.0134275
92.         4.7         0.0200067   0.0100826
92.         4.9         0.017168    0.0100263
92.         5.1         0.0262141   0.0134065
92.         5.3         0.0154811   0.00913681
92.         5.5         0.          0.
92.         5.7         0.          0.
92.         5.9         0.          0.
92.         6.1         0.          0.
92.         6.3         0.          0.
92.         6.5         0.          0.
92.         6.7         0.          0.
92.         6.9         0.          0.
92.         7.1         0.          0.
92.         7.3         0.          0.
92.         7.5         0.          0.
92.         7.7         0.          0.
92.         7.9         0.          0.
92.         8.1         0.          0.
92.         8.3         0.          0.
92.         8.5         0.          0.
92.         8.7         0.          0.
92.         8.9         0.          0.
92.         9.1         0.          0.
92.         9.3         0.          0.
92.         9.5         0.          0.
92.         9.7         0.          0.
92.         9.9         0.          0.
92.         10.1        0.          0.
92.         10.3        0.          0.
92.         10.5        0.          0.
92.         10.7        0.          0.
92.         10.9        0.          0.
92.         11.1        0.          0.
92.         11.3        0.          0.
92.         11.5        0.          0.
92.         11.7        0.          0.
92.         11.9        0.          0.
92.         12.1        0.          0.
92.         12.3        0.          0.
92.         12.5        0.          0.
92.         12.7        0.          0.
92.         12.9        0.          0.
92.         13.1        0.          0.
92.         13.3        0.          0.
92.         13.5        0.          0.
92.         13.7        0.          0.
92.         13.9        0.          0.
92.         14.1        0.          0.
92.         14.3        0.          0.
92.         14.5        0.          0.
92.         14.7        0.          0.
92.         14.9        0.          0.
93.         0.1         0.497409    0.0323163
93.         0.3         0.837985    0.0407787
93.         0.5         0.896688    0.0421869
93.         0.7         0.85911     0.042349
93.         0.9         0.671782    0.0382009
93.         1.1         0.541842    0.035241
93.         1.3         0.441642    0.0324614
93.         1.5         0.451519    0.0335061
93.         1.7         0.292251    0.0276502
93.         1.9         0.286497    0.0278604
93.         2.1         0.232723    0.0258111
93.         2.3         0.192021    0.0237416
93.         2.5         0.171965    0.0231777
93.         2.7         0.122294    0.0197767
93.         2.9         0.0826649   0.0166603
93.         3.1         0.0628769   0.0148792
93.         3.3         0.104982    0.0199229
93.         3.5         0.0643947   0.0155038
93.         3.7         0.0603235   0.0163478
93.         3.9         0.0353104   0.0120723
93.         4.1         0.0145229   0.00753933
93.         4.3         0.0397064   0.0127751
93.         4.5         0.0220181   0.0102751
93.         4.7         0.          0.
93.         4.9         0.0117719   0.00683148
93.         5.1         0.          0.
93.         5.3         0.          0.
93.         5.5         0.          0.
93.         5.7         0.          0.
93.         5.9         0.          0.
93.         6.1         0.          0.
93.         6.3         0.          0.
93.         6.5         0.          0.
93.         6.7         0.          0.
93.         6.9         0.          0.
93.         7.1         0.          0.
93.         7.3         0.          0.
